Centro_de_custo;Descricao_Centro_de_Custo;Centro;Centro_de_trabalho;Descricao_Centro_de_Trabalho;Gestor_do_CC;Periodo;Dias_Uteis;Horas_Disponiveis;Horas_de_Ocupacao;Horas_de_Ocupacao_OEE;Percentual_de_OEE;Quantidade_de_Maquinas;T1;T2;T3;Revezamento;Horas_Tryout;Horas_Preventiva;Porcentagem
1001621010;Macharia;1001;BAN00101;BANCADA DE REBARBACAO E PINTUR;Jomar Fundicao;202401;22;976,8;216,47;327,98;66;8;2;2;0;0;0;0;33,58
1001621010;Macharia;1001;BAN00101;BANCADA DE REBARBACAO E PINTUR;Jomar Fundicao;202402;19;843,6;139,82;211,85;66;7;2;2;1;0;0;0;25,11
1001621010;Macharia;1001;BAN00101;BANCADA DE REBARBACAO E PINTUR;Jomar Fundicao;202403;20;0;71,56;108,42;66;0;0;0;0;0;0;0;0
1001621040;Acabamento;1001;BAN00301;BANC ESCOLHA MOVEL (OBSOLETO);Jomar Fundicao;202401;22;0;0;0;0;0;0;0;0;0;0;0;0
1001621040;Acabamento;1001;BAN00301;BANC ESCOLHA MOVEL (OBSOLETO);Jomar Fundicao;202402;19;0;0;0;0;0;0;0;0;0;0;0;0
1001621040;Acabamento;1001;BAN00301;BANC ESCOLHA MOVEL (OBSOLETO);Jomar Fundicao;202403;20;0;0;0;0;0;0;0;0;0;0;0;0
1001621000;Celula de Moldagem;1001;BAN00401;BANCADA REBARBACAO E PINTURA P;Jomar Fundicao;202401;22;193,6;95,78;119,73;80;1;1;0;0;0;0;0;61,84
1001621000;Celula de Moldagem;1001;BAN00401;BANCADA REBARBACAO E PINTURA P;Jomar Fundicao;202402;19;421,8;91,4;114,25;80;1;1;1;0;0;0;0;27,09
1001621000;Celula de Moldagem;1001;BAN00401;BANCADA REBARBACAO E PINTURA P;Jomar Fundicao;202403;20;0;59,05;73,81;80;0;0;0;0;0;0;0;0
1001621070;Celula VD-II;1001;BAN00801;BANCADA DE REBARBACAO;Jomar Fundicao;202401;22;976,8;10.434,03;13.042,54;80;2;2;2;0;0;0;0;1.335,23
1001621070;Celula VD-II;1001;BAN00801;BANCADA DE REBARBACAO;Jomar Fundicao;202402;19;589;36,02;45,03;80;2;2;1;0;0;0;0;7,65
1001621070;Celula VD-II;1001;BAN00801;BANCADA DE REBARBACAO;Jomar Fundicao;202403;20;0;40,9;51,13;80;0;0;0;0;0;0;0;0
1001621040;Acabamento;1001;BAN01001;BANCADA PARA DESEMPENO;Jomar Fundicao;202401;22;0;0;0;0;0;0;0;0;0;0;0;0
1001621040;Acabamento;1001;BAN01001;BANCADA PARA DESEMPENO;Jomar Fundicao;202402;19;0;0;0;0;0;0;0;0;0;0;0;0
1001621040;Acabamento;1001;BAN01001;BANCADA PARA DESEMPENO;Jomar Fundicao;202403;20;0;18,66;0;0;0;0;0;0;0;0;0;0
1001621080;Celula RG-II;1001;BAN01601;BANCADA DE REBARBACAO SHELL;Jomar Fundicao;202401;22;488,4;794,92;993,65;80;1;1;1;1;0;0;0;203,45
1001621080;Celula RG-II;1001;BAN01601;BANCADA DE REBARBACAO SHELL;Jomar Fundicao;202402;19;421,8;212,23;265,29;80;1;1;1;0;0;0;0;62,89
1001621080;Celula RG-II;1001;BAN01601;BANCADA DE REBARBACAO SHELL;Jomar Fundicao;202403;20;0;184,64;230,8;80;0;0;0;0;0;0;0;0
1001621060;Forjaria;1001;BRI00101;BRIQUETADEIRA DE CAVACO USINAD;Jomar Fundicao;202401;22;0;0;0;0;0;0;0;0;0;0;0;0
1001621060;Forjaria;1001;BRI00101;BRIQUETADEIRA DE CAVACO USINAD;Jomar Fundicao;202402;19;0;0;0;0;0;0;0;0;0;0;0;0
1001621060;Forjaria;1001;BRI00101;BRIQUETADEIRA DE CAVACO USINAD;Jomar Fundicao;202403;20;0;0;0;0;0;0;0;0;0;0;0;0
1001631040;Celula Acessorios;1001;CAL00101;CALANDRA;Fabio Usinagem;202401;22;0;0;0;0;0;0;0;0;0;0;0;0
1001631040;Celula Acessorios;1001;CAL00101;CALANDRA;Fabio Usinagem;202402;19;0;0;0;0;0;0;0;0;0;0;0;0
